DATE,PRCP,SNOW,SNWD,TMAX,TMIN,AWND,PGTM,TAVG,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,warning,closed,work call early release ,delayed report
11/21/2013,30,46,30,72,-105,67,,-12,350,360,116,143,1,,,,,,,,,,0,1,0,0
11/22/2013,10,20,0,-10,-71,25,,-61,10,10,94,112,,,,,,,,,,,0,1,0,0
11/23/2013,0,0,30,-16,-55,42,,-28,160,170,76,94,,,,,,,,,,,,,,
11/24/2013,25,33,30,22,-66,42,,-51,350,350,183,237,,,,,,,,,,,,,,
11/25/2013,0,0,30,28,-21,67,,11,340,330,192,237,,,,,,,,,,,,,,
11/26/2013,0,0,30,78,-43,36,,16,20,350,94,125,,,,,,,,,,,,,,
11/27/2013,0,0,0,128,-55,30,,23,360,340,54,63,,,,,,,,,,,,,,
11/28/2013,0,0,0,56,-55,33,,21,140,150,63,72,,,,,,,,,,,,,,
11/29/2013,0,0,0,150,-66,37,,30,320,310,94,130,,,,,,,,,,,,,,
11/30/2013,0,0,0,128,-27,26,,53,160,160,54,63,,,,,,,,,,,,,,
12/1/2013,0,0,0,144,-16,58,,46,290,290,179,224,,,,,,,,,,,,,,
12/2/2013,0,0,0,144,39,59,,98,300,310,174,228,,,,,,,,,,,,,,
12/3/2013,0,0,0,156,-82,53,,85,260,270,161,179,,,,,,,,,,,,,,
12/4/2013,15,28,0,-77,-177,51,,-96,360,360,103,130,1,,,,,,,,,,,,,
12/5/2013,0,3,30,-143,-216,36,,-166,160,150,94,107,,,,,,,,,,,,,,
12/6/2013,0,0,30,-138,-221,34,,-180,180,170,67,81,,,,,,,,,,,,,,
12/7/2013,3,38,50,-138,-193,30,,-161,150,160,58,72,,,,,,,,,,,,,,
12/8/2013,0,5,80,-38,-171,24,,-138,140,140,72,81,,,,,,,,,,,,,,
12/9/2013,0,0,80,-77,-160,26,,-124,80,110,67,85,1,,,,,,,,,,,,,
12/10/2013,0,0,0,78,-149,60,,-51,350,300,161,215,,,,,,,,,,,,,,
12/11/2013,0,0,0,-21,-110,31,,-51,150,190,67,85,,,,,,,,,,,,,,
12/12/2013,0,0,0,139,-71,30,,6,340,340,58,63,,,,,,,,,,,,,,
12/13/2013,0,0,0,100,-32,59,,27,30,30,125,143,,,,,,,,,,,,,,
12/14/2013,0,0,0,44,-71,26,,-2,340,330,67,85,,,,,,,,,,,,,,
12/15/2013,0,0,0,128,-55,32,,15,310,320,94,125,,,,,,,,,,,,,,
12/16/2013,0,0,0,167,-5,37,,82,10,260,89,112,,,,,,,,,,,,,,
12/17/2013,0,0,0,128,-32,27,,42,30,30,63,67,,,,,,,,,,,,,,
12/18/2013,0,0,0,183,17,22,,88,350,350,81,112,,,,,,,,,,,,,,
12/19/2013,0,0,0,144,-49,51,,88,350,360,134,161,1,,,,,,,,,,,,,
12/20/2013,0,0,0,-32,-66,24,,-39,170,180,67,76,,,,,,,,,,,,,,
12/21/2013,0,0,0,56,-77,46,,-30,20,20,94,103,,,,,,,,,,,,,,
12/22/2013,0,0,0,28,-99,40,,-39,140,140,94,112,,,,,,,,,,,,,,
12/23/2013,0,0,0,11,-99,25,,-55,360,360,103,125,,,,,,,,,,,,,,
12/24/2013,0,0,0,128,-60,60,,36,20,30,170,201,,,,,,,,,,,,,,
12/25/2013,0,0,0,44,-110,31,,-24,150,150,67,76,,,,,,,,,,,,,,
12/26/2013,0,0,0,122,-82,45,,19,20,20,112,125,,,,,,,,,,,,,,
12/27/2013,0,0,0,139,-71,27,,18,10,10,54,58,,,,,,,,,,,,,,
12/28/2013,0,0,0,167,-43,64,,45,20,30,148,188,1,,,,,,,,,,,,,
12/29/2013,0,0,0,-32,-77,45,,-37,330,330,116,143,1,,,,,,,,,,,,,
12/30/2013,0,0,0,67,-77,34,,-3,360,360,76,94,,,,,,,,,,,,,,
12/31/2013,0,0,0,139,-71,35,,32,50,290,72,94,,,,,,,,,,,,,,
1/1/2014,0,0,0,56,-60,70,,12,360,350,157,188,,,,,,,,,,,,,,
1/2/2014,0,0,0,67,-88,23,,-19,50,140,63,76,,,,,,,,,,,,,,
1/3/2014,0,0,0,161,-32,37,,45,310,320,116,161,,,,,,,,,,,,,,
1/4/2014,46,89,50,61,-166,55,,-1,60,50,139,161,,,,,,,,,,,,,,
1/5/2014,0,0,100,-71,-188,46,,-126,350,10,103,121,1,,,,,,,,,,,,,
1/6/2014,0,0,100,0,-232,18,,-143,330,330,63,76,1,,,,,,,,,,,,,
1/7/2014,0,0,50,72,-27,36,,-1,350,10,81,103,,,,,,,,,,,,,,
1/8/2014,0,0,50,22,-60,34,,7,340,340,98,116,,,,,,,,,,,,,,
1/9/2014,0,0,50,89,-99,24,,-13,130,240,63,89,,,,,,,,,,,,,,
1/10/2014,0,0,0,56,-66,83,,12,300,310,157,210,,,,,,,,,,,,,,
1/11/2014,0,0,0,133,-66,37,,13,210,360,94,125,,,,,,,,,,,,,,
1/12/2014,0,0,0,117,-82,52,,58,350,350,197,255,,,,,,,,,,,,,,
1/13/2014,0,0,0,100,-88,77,,16,310,300,148,192,,,,,,,,,,,,,,
1/14/2014,0,0,0,28,-93,50,,4,10,10,107,130,,,,,,,,,,,,,,
1/15/2014,0,0,0,144,-99,35,,-6,300,300,89,116,,,,,,,,,,,,,,
1/16/2014,0,0,0,61,-66,32,,22,170,160,81,94,,,,,,,,,,,,,,
1/17/2014,0,0,0,106,-93,25,,2,150,150,58,81,,,,,,,,,,,,,,
1/18/2014,0,0,0,144,-32,43,,40,20,30,94,116,,,,,,,,,,,,,,
1/19/2014,0,0,0,172,-43,30,,62,360,360,63,67,,,,,,,,,,,,,,
1/20/2014,0,0,0,89,-71,53,,46,20,10,143,165,,,,,,,,,,,,,,
1/21/2014,0,0,0,178,-88,41,,23,300,300,98,130,,,,,,,,,,,,,,
1/22/2014,10,15,0,61,-71,36,,12,100,90,81,94,1,,,,,,,,,,,,,
1/23/2014,13,66,80,-55,-166,30,,-86,150,150,76,85,1,,,,,,,,,,,,,
1/24/2014,0,0,50,122,-127,32,,-26,330,320,63,76,,,,,,,,,,,,,,
1/25/2014,0,0,0,133,-21,40,,57,350,150,76,85,,,,,,,,,,,,,,
1/26/2014,0,0,0,150,-60,59,,57,20,30,148,192,,,,,,,,,,,,,,
1/27/2014,48,89,30,-49,-132,47,,-75,160,150,89,107,,,,,,,,,,,,,,
1/28/2014,0,0,80,-55,-193,26,,-119,10,20,45,54,1,,,,,,,,,,,,,
1/29/2014,0,0,50,94,-132,31,,-52,160,60,94,121,,,,,,,,,,,,,,
1/30/2014,10,8,0,117,-32,63,,50,280,280,228,277,1,,,,,,,,,,,,,
1/31/2014,43,79,80,-32,-82,26,,-43,100,110,63,72,,,,,,,,,,,1,0,0,0
2/1/2014,10,15,80,-27,-116,34,,-54,350,350,67,76,1,,,,,,,,,,,,,
2/2/2014,0,0,100,-55,-177,13,,-108,30,10,40,45,,,,,,,,,,,,,,
2/3/2014,0,0,50,17,-116,27,,-62,40,40,63,72,,,,,,,,,,,,,,
2/4/2014,20,41,50,-55,-188,43,,-67,350,350,98,125,1,,,,,,,,,,1,0,0,0
2/5/2014,5,5,100,-171,-238,39,,-184,160,160,72,85,1,,,,,,,,,,,,,
2/6/2014,0,0,100,-166,-260,13,,-221,320,170,40,58,,,,,,,,,,,,,,
2/7/2014,0,0,100,39,-193,28,,-89,340,330,76,94,,,,,,,,,,,,,,
2/8/2014,0,0,80,106,-71,43,,16,300,300,116,165,,,,,,,,,,,,,,
2/9/2014,0,0,0,50,-77,28,,-13,130,140,67,81,,,,,,,,,,,,,,
2/10/2014,3,5,0,-5,-66,11,,-43,180,180,54,58,,,,,,,,,,,,,,
2/11/2014,0,0,0,39,-77,30,,-19,310,310,72,98,,,,,,,,,,,,,,
2/12/2014,0,0,0,94,-60,45,,-4,300,320,134,170,,,,,,,,,,,,,,
2/13/2014,0,0,0,156,39,69,,82,300,290,161,219,,,,,,,,,,,,,,
2/14/2014,0,0,0,72,-27,46,,39,330,340,98,121,1,,,,,,,,,,,,,
2/15/2014,0,0,0,178,-10,81,,88,300,310,170,259,,,,,,,,,,,,,,
